gtx1080ti,gtx1660ti,rtx3070,nvda,spy,bond,difficulty,btc
261,150,391,120.57,368.549988,4,195930,19382.5332
262,150,393,109.709999,349.209991,3.97,196067,19156.9668
262,150,395,115.790001,358.170013,3.91,199940,19052.64648
262,151,396,115.610001,358.23999,3.93,205955,19139
263,153,399,120.370003,363.959991,3.89,210366,19446.41602
263,152,400,125.050003,368.970001,3.89,212544,19417.47852
263,153,400,125.050003,368.970001,3.89,211889,19546.32813
263,156,402,125.050003,368.970001,3.89,215311,19957.55859
263,157,404,132.199997,375.619995,3.83,197355,20161.03906
263,158,405,129.110001,373.390015,3.76,196075,20335.90039
263,159,405,128.789993,372.399994,3.62,203739,19623.58398
263,160,407,123.470001,361.079987,3.67,215789,19044.06836
263,160,408,120.870003,361.799988,3.83,220375,19311.84961
263,160,408,120.870003,361.799988,3.83,203753,19431.10547
262,160,410,120.870003,361.799988,3.83,213096,19573.43164
262,160,410,124.480003,366.809998,3.76,218356,19427.7793
263,160,410,124.099998,364.380005,3.72,214377,19104.62109
263,160,412,125.07,368.019989,3.97,234426,19221.83984
263,161,414,124.910004,366.410004,3.88,222936,18803.90039
263,161,415,124.199997,370.579987,3.69,222361,18936.31055
263,161,416,124.199997,370.579987,3.69,236514,19296.99023
263,161,418,124.199997,370.579987,3.69,243536,19412.40039
263,163,420,130.699997,376.579987,3.7,243035,18534.65039
263,163,420,132.130005,386.109985,3.51,238632,18891.2832
263,165,423,132.149994,385.059998,3.57,232309,19545.5918
264,166,425,130.119995,382.26001,3.49,266418,19418.57227
265,167,428,127.419998,384.140015,3.45,247384,20127.23438
266,168,430,127.419998,384.140015,3.45,281832,19777.0332
