gtx1080ti,gtx1660ti,rtx3070,nvda,spy,bond,difficulty,btc
492,352,835,273.75,453.309998,2.39,48974,46285.5
497,356,839,273.75,453.309998,2.39,49404,45554.16406
500,358,839,277.820007,457.890015,2.32,49395,47062.14844
501,359,840,283.040009,460.339996,2.35,51002,47456.89844
503,360,842,286.950012,460.019989,2.41,48800,47100.4375
505,360,846,277.559998,452.059998,2.46,50447,46821.85156
509,361,849,278.859985,451.160004,2.48,49246,44505.35547
513,361,850,278.859985,451.160004,2.48,49180,44349.85938
515,362,850,278.859985,451.160004,2.48,48838,43964.54688
520,364,855,261.660004,445.940002,2.34,48721,42886.65234
520,366,860,261.26001,446.910004,2.32,49989,42364.37891
525,367,860,267.269989,445.859985,2.38,49962,41074.10547
525,370,866,265.070007,444.339996,2.32,49232,41246.13281
527,371,869,247.990005,438,2.14,49522,42191.40625
530,372,870,247.990005,438,2.14,50221,41794.64844
534,375,875,247.990005,438,2.14,48749,40944.83984
540,376,884,241.199997,433.589996,2.2,49338,41140.84375
544,379,896,235,429.890015,2.19,50513,39335.57031
545,380,900,215.179993,419.769989,2.15,48356,39664.25
547,381,905,218.690002,420.890015,2.14,50228,37846.31641
550,383,911,230.220001,428.119995,2,51759,38884.72656
550,385,915,230.220001,428.119995,2,50906,38794.46484
559,388,920,230.220001,428.119995,2,52145,39439.96875
560,389,925,225.309998,422.519989,1.98,51684,41974.07031
560,395,934,223.869995,425.140015,1.94,49834,38742.81641
564,398,943,213.089996,419.619995,1.86,52202,38059.90234
565,398,947,228.169998,431.549988,1.78,52177,38429.30469
568,400,951,233.839996,431.75,1.74,54388,39404.19922
569,400,955,233.839996,431.75,1.74,51867,39148.44922
570,400,960,233.839996,431.75,1.74,52100,42458.14063
570,400,961,242.619995,440.470001,1.86,54094,43925.19531
571,402,968,237.559998,432.369995,1.86,54016,44357.61719
571,405,971,242.910004,435.040009,1.72,57007,43194.50391
575,406,978,239.919998,432.029999,1.83,54793,37706
577,406,980,237.210007,429.609985,1.97,54257,39098.69922
582,407,983,237.210007,429.609985,1.97,56253,39213.08203
585,408,989,237.210007,429.609985,1.97,55131,38333.74609
585,410,991,210.149994,411.019989,1.96,57806,37278.56641
588,411,994,238.020004,432.660004,1.99,56298,38285.28125
590,413,997,230.350006,431.890015,1.94,58202,37068.76953
592,414,998,246.679993,437.329987,1.92,59974,38423.21094
598,415,999,246.679993,437.329987,1.92,59259,40118.10156
600,415,999,246.679993,437.329987,1.92,61706,40026.02344
600,420,1000,246.679993,437.329987,1.92,60504,40552.13281
600,420,999,256.299988,443.220001,1.97,58837,43937.07031
603,421,1000,262.589996,443.929993,2.03,59873,44578.27734
610,422,1000,249.490005,443.730011,2.05,60868,42586.46484
612,424,1000,239.339996,439.920013,1.98,62015,42157.39844
616,425,1005,259.160004,449.410004,1.92,60970,42236.56641
621,427,1009,259.160004,449.410004,1.92,60898,42412.30078
623,430,1012,259.160004,449.410004,1.92,61552,43571.12891
625,432,1011,259.950012,451.339996,2.03,62930,44347.80078
635,437,1014,256.220001,455.220001,1.94,63473,44096.70313
639,438,1020,243.589996,446.730011,1.96,64752,43854.65234
644,439,1025,243.720001,449.51001,1.92,65343,42406.78125
649,441,1031,239.720001,446.350006,1.93,64973,41441.12109
650,441,1035,239.720001,446.350006,1.93,68887,41501.48047
656,446,1041,239.720001,446.350006,1.93,68080,37149.26563
662,448,1049,244.580002,450.950012,1.82,67813,36944.80469
666,449,1052,257.940002,455.5,1.78,67814,38743.71484
670,450,1065,251.039993,450.679993,1.81,67983,38481.76563
675,450,1075,231.820007,441.23999,1.79,68275,37920.28125
677,450,1085,220.119995,432.679993,1.78,66509,38151.91797
